dates,model,predictions,lower,upper
2023-03-26,RF,1467.71,933.044492799367,2002.375507200633
2023-04-02,RF,1864.86,936.5478716605425,2793.1721283394572
2023-04-09,RF,2007.72,1132.7894775737113,2882.6505224262887
2023-04-16,RF,1731.54,949.7346812927011,2513.3453187072987
2023-04-23,RF,1242.66,22.514239604206978,2462.805760395793
2023-04-30,RF,731.75,0.0,2186.763335878244
2023-05-07,RF,531.13,0.0,2298.4401790042575
2023-05-14,RF,583.34,0.0,2370.019328638367
2023-05-21,RF,448.09,0.0,2061.455387325426
2023-05-28,RF,382.13,0.0,2029.3868876666015
2023-06-04,RF,639.75,0.0,2146.6866005032066
2023-06-11,RF,441.14,0.0,1738.5912063924716
2023-06-18,RF,448.59,0.0,1786.6545717604197
2023-06-25,RF,395.28,0.0,1357.2161203046294
2023-07-02,RF,414.89,0.0,1414.9865816986903
2021-12-26,DL,273.0313777625561,119.7094629228115,455.10302801430174
2022-01-02,DL,388.2370045185089,211.3502678319812,684.2235650718205
2022-01-09,DL,591.6359487175941,269.03285095393653,959.501080885529
2022-01-16,DL,409.6821682751179,214.66646229103208,694.7039500057689
2022-01-23,DL,307.8787753880024,156.81033882573246,486.8181906715034
2022-01-30,DL,257.8512829095125,110.15992062613367,410.50946275144804
2022-02-06,DL,274.9653272628784,146.6741071268916,409.2917649909853
2022-02-13,DL,253.55789843201637,120.85287148803474,401.6568745121358
2022-02-20,DL,230.8049591779709,106.60157529711722,399.6246667668222
2022-02-27,DL,239.44869911670685,85.7107803337276,371.3751293353737
2022-03-06,DL,293.9725222438574,141.4586842522025,465.7517054185271
2022-03-13,DL,391.44295275211334,224.42060943692923,736.2366598978638
2022-03-20,DL,450.02087301015854,258.59139254465697,803.0610332965849
2022-03-27,DL,560.1687065958977,276.72840182334187,1082.6117645233855
2022-04-03,DL,580.2484788298607,303.057536201179,1256.8743631005286
2022-04-10,DL,778.9197298288345,457.74527566283945,1218.2684885442252
2022-04-17,DL,797.4549963474274,496.94886061549187,1557.8188413679595
2022-04-24,DL,1125.9412569999695,501.8615044817329,2067.1320687413195
2022-05-01,DL,1523.6260917186737,654.3011189341546,2303.9529334306717
2022-05-08,DL,1773.1231546401978,964.7655476450919,2521.378742009401
2022-05-15,DL,1898.0269567966461,910.8471673488616,2943.485947799682
2022-05-22,DL,2064.7577356100082,1253.1072702586653,2875.283032095432
2022-05-29,DL,2137.503761291504,1257.954397493601,2872.235533690452
2022-06-05,DL,2243.4724633693695,1277.5257618665696,3107.7225263476366
2022-06-12,DL,2162.2392585277557,1407.7701710164547,2991.6972730457774
2022-06-19,DL,1858.750750541687,1099.4493625342848,2837.574847924708
2022-06-26,DL,1838.5079671144485,1074.4328161239623,2715.7781275749203
2022-07-03,DL,1995.587819814682,1145.4712189257143,2710.8154964506625
2022-07-10,DL,1678.1373893022537,946.4397053569555,2446.2191139936435
2022-07-17,DL,1492.2623326778412,766.172187706828,2214.021284526586
2022-07-24,DL,1156.0576901435852,632.0726006954908,1905.4498543977736
2022-07-31,DL,587.4413592517376,415.0924063429236,876.497695660591
2022-08-07,DL,467.5560257732868,286.4934651441872,663.0538155913353
2022-08-14,DL,415.5180427134037,255.12877252101896,671.3038705974817
2022-08-21,DL,346.0939114689827,219.3951121106744,567.9633761495351
2022-08-28,DL,463.63064897060394,283.4014467835426,978.4475290864702
2022-09-04,DL,373.6925519555807,202.06995259672405,596.2419191375374
2022-09-11,DL,313.02499683201313,138.9118071362376,454.4334830358622
2022-09-18,DL,255.94403351843357,100.3807303212583,394.7635617136953
2022-09-25,DL,207.84807163476944,55.11718352511525,370.7161209940908
2022-10-02,DL,196.0642410442233,40.95539317280054,362.65396541506044
2022-10-09,DL,181.19475093483925,49.211841000616545,323.04263189807534
2022-10-16,DL,194.32860147953033,18.316762753576043,337.0651693165302
2022-10-23,DL,183.27102422714233,16.83776560649276,365.39266404062505
2022-10-30,DL,179.91699290275574,45.61059926226736,331.93067092522955
2022-11-06,DL,210.24471168220043,67.53806167468429,381.90006302148066
2022-11-13,DL,195.45376113057137,73.02735994085668,349.14898047223676
2022-11-20,DL,176.70519322156906,10.46176800057292,342.0947453781961
2022-11-27,DL,178.2248187661171,30.705201652646068,306.61910040229554
2022-12-04,DL,232.32417005300522,53.392382960766554,449.78510113954536
2022-12-11,DL,291.24284498393536,92.79484974741936,587.2987267613407
2022-12-18,DL,278.8575305044651,74.1650961726904,478.82933368831834
2022-12-25,DL,212.8461293578148,75.48528180718422,399.5082955271004
2023-01-01,DL,209.57238265872002,36.298140228539715,361.23596212193354
2023-01-08,DL,196.72442370653152,42.91957956776022,342.4158170714973
2023-01-15,DL,187.13952795416117,40.48339444696904,320.3871297992766
2023-01-22,DL,248.12972475588322,88.40140321254731,479.1618468046174
2023-01-29,DL,329.7314671278,149.22111094743013,581.7810754671692
2023-02-05,DL,320.51152086257935,173.62235230356453,650.3847139671442
2023-02-12,DL,396.7350111603737,185.28006346523762,675.3821556314816
2023-02-19,DL,396.51578921079636,166.15018447712066,831.6218429744235
2023-02-26,DL,396.8548506498337,169.56335400938985,703.3860722154376
2023-03-05,DL,453.4978538453579,256.654980944097,841.7318082392214
2023-03-12,DL,495.91158786416054,236.40016058236358,959.2514613568779
2023-03-19,DL,667.6806473433971,340.1649742491543,1165.334676504135
2023-03-26,DL,883.3436036705971,470.08019627779726,1427.791391915082
2023-04-02,DL,884.6496744155884,481.6100176021457,1734.4192660331728
2023-04-09,DL,1102.2002754807472,570.6761521711946,1981.8862083792678
2023-04-16,DL,896.1145032048225,508.38986779302354,1645.8746313631536
2023-04-23,DL,523.4759374856949,342.4981249384582,959.4184165179727
2023-04-30,DL,379.38394862413406,230.0858600407839,639.0856343418354
2023-05-07,DL,329.21245063841343,165.46070253401996,511.834936353564
2023-05-14,DL,311.9549306333065,161.4098386734724,437.08764072805633
2023-05-21,DL,296.2695840150118,169.7010173767805,473.6813095837831
2023-05-28,DL,345.5702069103718,192.30059456676247,576.114496769011
2023-06-04,DL,328.9435029029846,179.9923133004457,476.1492462947964
2023-06-11,DL,255.04486875236034,145.80914510861038,402.8945409134029
2023-06-18,DL,298.1693232804537,169.7550649404526,471.0539796710014
2023-06-25,DL,324.8996227681637,150.6614891164005,554.8808686017989
2023-07-02,DL,309.6976425796747,164.9176363646984,548.4614919573061
2021-12-26,RF - cluster,174.71,0.0,483.730420147464
2022-01-02,RF - cluster,484.22,56.638172118054854,911.8018278819452
2022-01-09,RF - cluster,711.27,334.3557967111599,1088.18420328884
2022-01-16,RF - cluster,574.15,206.38323596006308,941.9167640399369
2022-01-23,RF - cluster,374.78,0.0,859.012448830653
2022-01-30,RF - cluster,242.62,0.0,941.0112342254697
2022-02-06,RF - cluster,357.26,0.0,1479.6717720596118
2022-02-13,RF - cluster,710.36,0.0,1969.9754935546098
2022-02-20,RF - cluster,225.39,0.0,1497.3984389310808
2022-02-27,RF - cluster,190.36,0.0,1206.3763361217434
2022-03-06,RF - cluster,176.1,0.0,1107.5619401224299
2022-03-13,RF - cluster,179.36,0.0,1116.9582903261994
2022-03-20,RF - cluster,490.61,0.0,1542.6525732406885
2022-03-27,RF - cluster,637.54,0.0,1566.573440253761
2022-04-03,RF - cluster,634.6,0.0,1600.1947528270348
2022-04-10,RF - cluster,856.68,0.0,1888.9742131783892
2022-04-17,RF - cluster,927.11,0.0,1918.4374219283627
2022-04-24,RF - cluster,1571.44,478.9897327160231,2663.8902672839768
2022-05-01,RF - cluster,1818.52,818.9314144565872,2818.108585543413
2022-05-08,RF - cluster,2309.47,1388.2041404157758,3230.735859584224
2022-05-15,RF - cluster,2066.49,1114.4653581397904,3018.514641860209
2022-05-22,RF - cluster,2372.7,1350.8509931437525,3394.549006856247
2022-05-29,RF - cluster,1960.19,955.7775808839203,2964.6024191160795
2022-06-05,RF - cluster,1588.91,629.0275566201518,2548.7924433798485
2022-06-12,RF - cluster,2016.96,954.7160275566598,3079.2039724433403
2022-06-19,RF - cluster,1820.77,726.3633895118435,2915.1766104881563
2022-06-26,RF - cluster,1004.76,0.0,2267.272096766919
2022-07-03,RF - cluster,1207.77,0.0,2552.845150929318
2022-07-10,RF - cluster,1504.28,101.45740389942875,2907.102596100571
2022-07-17,RF - cluster,948.94,0.0,2325.6967918502305
2022-07-24,RF - cluster,1037.89,0.0,2553.9236672563866
2022-07-31,RF - cluster,946.37,0.0,2446.9264740255276
2022-08-07,RF - cluster,633.07,0.0,1983.3012880765532
2022-08-14,RF - cluster,626.86,0.0,2103.2872623073154
2022-08-21,RF - cluster,544.32,0.0,1762.1263770084124
2022-08-28,RF - cluster,332.34,0.0,1476.423107229865
2022-09-04,RF - cluster,593.16,0.0,1745.9402920652283
2022-09-11,RF - cluster,752.5,0.0,1712.473649587871
2022-09-18,RF - cluster,508.44,0.0,1584.2794934204394
2022-09-25,RF - cluster,357.85,0.0,1562.0052500087022
2022-10-02,RF - cluster,349.15,0.0,1380.9022968664326
2022-10-09,RF - cluster,329.94,0.0,1158.126041447499
2022-10-16,RF - cluster,333.44,0.0,1038.0218500477754
2022-10-23,RF - cluster,344.35,0.0,833.0322809635277
2022-10-30,RF - cluster,340.6,0.0,722.2299308408224
2022-11-06,RF - cluster,352.83,118.04727852202316,587.6127214779768
2022-11-13,RF - cluster,100.76,0.0,212.8682433483745
2022-11-20,RF - cluster,104.84,0.0,301.6000009252465
2022-11-27,RF - cluster,104.98,0.0,301.55697632031
2022-12-04,RF - cluster,103.6,0.0,333.14660907220434
2022-12-11,RF - cluster,132.17,0.0,462.2327223315359
2022-12-18,RF - cluster,463.11,18.76210361521123,907.4578963847888
2022-12-25,RF - cluster,185.69,0.0,797.0271089501691
2023-01-01,RF - cluster,167.28,0.0,820.9393110213404
2023-01-08,RF - cluster,153.33,0.0,1055.3384445124893
2023-01-15,RF - cluster,138.41,0.0,1068.2697596407193
2023-01-22,RF - cluster,169.26,0.0,1046.4184867476142
2023-01-29,RF - cluster,169.28,0.0,1131.9122436065345
2023-02-05,RF - cluster,616.97,0.0,1414.1015157820884
2023-02-12,RF - cluster,459.27,0.0,1318.1869540876783
2023-02-19,RF - cluster,552.63,0.0,1451.773122926128
2023-02-26,RF - cluster,486.37,0.0,1543.5821173507243
2023-03-05,RF - cluster,515.52,0.0,1642.3498675661588
2023-03-12,RF - cluster,542.85,0.0,1613.3733473609263
2023-03-19,RF - cluster,537.79,0.0,1587.9819703320343
2023-03-26,RF - cluster,914.69,0.0,2005.9653423121238
2023-04-02,RF - cluster,1693.71,444.53722202877543,2942.8827779712246
2023-04-09,RF - cluster,1884.77,706.5389253521673,3063.001074647833
2023-04-16,RF - cluster,1343.79,305.02560044290203,2382.554399557098
2023-04-23,RF - cluster,1060.14,0.0,2600.474230752452
2023-04-30,RF - cluster,643.04,0.0,2219.197078445166
2023-05-07,RF - cluster,790.64,0.0,2506.6591073112413
2023-05-14,RF - cluster,482.95,0.0,2287.77608941385
2023-05-21,RF - cluster,458.5,0.0,1947.0010640305713
