municipio_geocodigo,data_iniSE,casos
3140407,2023-12-31,0
3140506,2023-12-31,1066
3140530,2023-12-31,117
3140555,2023-12-31,1
3140605,2023-12-31,298
3140704,2023-12-31,1076
3140803,2023-12-31,162
3140852,2023-12-31,197
3140902,2023-12-31,820
3141009,2023-12-31,291
3141108,2023-12-31,134
3141207,2023-12-31,16
3141306,2023-12-31,4
3141405,2023-12-31,413
3141504,2023-12-31,29
3141603,2023-12-31,179
3141702,2023-12-31,75
3141801,2023-12-31,123
3141900,2023-12-31,3
3142007,2023-12-31,509
3142106,2023-12-31,663
3142205,2023-12-31,349
3142254,2023-12-31,53
3142304,2023-12-31,29
3142403,2023-12-31,11
3142502,2023-12-31,69
3142601,2023-12-31,66
3142700,2023-12-31,655
3142809,2023-12-31,361
3142908,2023-12-31,167
3143005,2023-12-31,112
3143104,2023-12-31,5237
3143153,2023-12-31,10
3143203,2023-12-31,679
3143302,2023-12-31,26012
3143401,2023-12-31,3
3143450,2023-12-31,0
3143500,2023-12-31,1816
3143609,2023-12-31,12
3143708,2023-12-31,6
3143807,2023-12-31,7
3143906,2023-12-31,6484
3144003,2023-12-31,757
3144102,2023-12-31,172
3144201,2023-12-31,84
3144300,2023-12-31,1577
3144359,2023-12-31,125
3144375,2023-12-31,799
3144409,2023-12-31,9
3144508,2023-12-31,53
3144607,2023-12-31,1784
3144656,2023-12-31,1
3144672,2023-12-31,46
3144706,2023-12-31,86
3144805,2023-12-31,2832
3144904,2023-12-31,65
3145000,2023-12-31,260
3145059,2023-12-31,236
3145109,2023-12-31,49
3145208,2023-12-31,8971
3145307,2023-12-31,264
3145356,2023-12-31,172
3145372,2023-12-31,13
3145406,2023-12-31,7
3145455,2023-12-31,92
3145505,2023-12-31,0
3145604,2023-12-31,4969
3145703,2023-12-31,9
3145802,2023-12-31,32
3145851,2023-12-31,61
3145877,2023-12-31,127
3145901,2023-12-31,381
3146008,2023-12-31,59
3146107,2023-12-31,542
3146206,2023-12-31,53
3146255,2023-12-31,133
3146305,2023-12-31,594
3146404,2023-12-31,203
3146503,2023-12-31,524
3146552,2023-12-31,134
3146602,2023-12-31,0
3146701,2023-12-31,45
3146750,2023-12-31,70
3146909,2023-12-31,318
3147006,2023-12-31,6049
3147105,2023-12-31,4198
3147204,2023-12-31,43
3147303,2023-12-31,7
3147402,2023-12-31,2511
3147501,2023-12-31,4
3147600,2023-12-31,23
3147709,2023-12-31,165
3147808,2023-12-31,10
3147907,2023-12-31,13419
3147956,2023-12-31,61
3148004,2023-12-31,13672
3148103,2023-12-31,3426
3148202,2023-12-31,135
3148301,2023-12-31,21
3148400,2023-12-31,10
3148509,2023-12-31,50
3148608,2023-12-31,91
3148707,2023-12-31,399
3148756,2023-12-31,2
3148806,2023-12-31,382
3148905,2023-12-31,157
3149002,2023-12-31,11
3149101,2023-12-31,10
3149150,2023-12-31,9
3149200,2023-12-31,240
3149309,2023-12-31,1121
3149408,2023-12-31,0
3149507,2023-12-31,30
3149606,2023-12-31,98
3149705,2023-12-31,495
3149804,2023-12-31,2795
3149903,2023-12-31,1140
3149952,2023-12-31,25
3150000,2023-12-31,79
3150109,2023-12-31,77
3150158,2023-12-31,137
3150208,2023-12-31,180
3150307,2023-12-31,437
3150406,2023-12-31,4
3150505,2023-12-31,618
3150539,2023-12-31,650
3150570,2023-12-31,55
3150604,2023-12-31,220
3150703,2023-12-31,278
3150802,2023-12-31,30
3150901,2023-12-31,4
3151008,2023-12-31,0
3151107,2023-12-31,22
3151206,2023-12-31,4358
3151305,2023-12-31,161
3151404,2023-12-31,1326
3151503,2023-12-31,3525
3151602,2023-12-31,1113
3151701,2023-12-31,13
3151800,2023-12-31,169
3151909,2023-12-31,25
3152006,2023-12-31,2800
3152105,2023-12-31,6141
3152170,2023-12-31,74
3152204,2023-12-31,229
3152303,2023-12-31,18
3152402,2023-12-31,559
3152501,2023-12-31,887
3152600,2023-12-31,4
3152709,2023-12-31,58
3152808,2023-12-31,2095
3152907,2023-12-31,810
3153004,2023-12-31,72
3153103,2023-12-31,31
3153202,2023-12-31,50
3153301,2023-12-31,6
3153400,2023-12-31,196
3153509,2023-12-31,274
3153608,2023-12-31,1331
3153707,2023-12-31,94
3153806,2023-12-31,0
3153905,2023-12-31,62
3154002,2023-12-31,478
3154101,2023-12-31,176
3154150,2023-12-31,148
3154200,2023-12-31,16
3154309,2023-12-31,188
3154408,2023-12-31,0
3154457,2023-12-31,148
3154507,2023-12-31,46
3154606,2023-12-31,9445
3154705,2023-12-31,579
3154804,2023-12-31,323
3154903,2023-12-31,769
3155009,2023-12-31,77
3155108,2023-12-31,158
3155207,2023-12-31,0
3155306,2023-12-31,29
3155405,2023-12-31,74
3155504,2023-12-31,448
3155603,2023-12-31,28
3155702,2023-12-31,342
3155801,2023-12-31,1257
3155900,2023-12-31,2
3156007,2023-12-31,22
3156106,2023-12-31,13
3156205,2023-12-31,16
3156304,2023-12-31,136
3156403,2023-12-31,80
3156452,2023-12-31,54
3156502,2023-12-31,89
3156601,2023-12-31,94
3156700,2023-12-31,3569
3156809,2023-12-31,857
3156908,2023-12-31,1810
3157005,2023-12-31,1227
3157104,2023-12-31,94
3157203,2023-12-31,706
3157252,2023-12-31,51
3157278,2023-12-31,0
3157302,2023-12-31,8
3157336,2023-12-31,100
3157377,2023-12-31,5
3157401,2023-12-31,317
3157500,2023-12-31,126
3157609,2023-12-31,180
3157658,2023-12-31,43
3157708,2023-12-31,171
3157807,2023-12-31,10168
3157906,2023-12-31,152
3158003,2023-12-31,62
3158102,2023-12-31,64
3158201,2023-12-31,9
3158300,2023-12-31,88
3158409,2023-12-31,62
3158508,2023-12-31,26
3158607,2023-12-31,13
3158706,2023-12-31,0
3158805,2023-12-31,54
3158904,2023-12-31,16
3158953,2023-12-31,1797
3159001,2023-12-31,29
3159100,2023-12-31,0
3159209,2023-12-31,2
3159308,2023-12-31,5
3159357,2023-12-31,130
3159407,2023-12-31,0
3159506,2023-12-31,3
3159605,2023-12-31,62
3159704,2023-12-31,41
3159803,2023-12-31,981
3159902,2023-12-31,820
3160009,2023-12-31,22
3160108,2023-12-31,243
3160207,2023-12-31,59
3160306,2023-12-31,471
3160405,2023-12-31,652
3160454,2023-12-31,3
3160504,2023-12-31,0
3160603,2023-12-31,58
3160702,2023-12-31,38
3160801,2023-12-31,0
3160900,2023-12-31,10
3160959,2023-12-31,32
3161007,2023-12-31,41
3161056,2023-12-31,27
3161106,2023-12-31,906
3161205,2023-12-31,179
3161304,2023-12-31,201
3161403,2023-12-31,231
3161502,2023-12-31,369
3161601,2023-12-31,0
3161650,2023-12-31,8
3161700,2023-12-31,243
3161809,2023-12-31,244
3161908,2023-12-31,2149
3162005,2023-12-31,65
3162104,2023-12-31,625
3162203,2023-12-31,376
3162252,2023-12-31,140
3162302,2023-12-31,0
3162401,2023-12-31,606
3162450,2023-12-31,42
3162500,2023-12-31,2636
3162559,2023-12-31,139
3162575,2023-12-31,325
3162609,2023-12-31,465
3162658,2023-12-31,44
3162708,2023-12-31,34
3162807,2023-12-31,145
3162906,2023-12-31,2396
3162922,2023-12-31,638
3162948,2023-12-31,791
3162955,2023-12-31,843
3163003,2023-12-31,122
3163102,2023-12-31,32
3163201,2023-12-31,1
3163300,2023-12-31,0
3163409,2023-12-31,172
3163508,2023-12-31,0
3163607,2023-12-31,27
3163706,2023-12-31,87
3163805,2023-12-31,31
3163904,2023-12-31,33
3164001,2023-12-31,121
3164100,2023-12-31,11
3164209,2023-12-31,271
3164308,2023-12-31,38
3164407,2023-12-31,7
3164431,2023-12-31,93
3164472,2023-12-31,0
3164506,2023-12-31,1
3164605,2023-12-31,246
3164704,2023-12-31,7427
3164803,2023-12-31,0
3164902,2023-12-31,2
3165008,2023-12-31,125
3165107,2023-12-31,624
3165206,2023-12-31,16
3165305,2023-12-31,12
3165404,2023-12-31,1
3165503,2023-12-31,68
3165537,2023-12-31,271
3165552,2023-12-31,128
3165560,2023-12-31,55
3165578,2023-12-31,0
3165602,2023-12-31,25
3165701,2023-12-31,45
3165800,2023-12-31,1
3165909,2023-12-31,2
3166006,2023-12-31,3
3166105,2023-12-31,1
3166204,2023-12-31,0
3166303,2023-12-31,22
3166402,2023-12-31,0
3166501,2023-12-31,0
3166600,2023-12-31,12
3166709,2023-12-31,37
3166808,2023-12-31,621
3166907,2023-12-31,34
3166956,2023-12-31,9
3167004,2023-12-31,0
3167103,2023-12-31,198
3167202,2023-12-31,6520
3167301,2023-12-31,270
3167400,2023-12-31,0
3167509,2023-12-31,1
3167608,2023-12-31,306
3167707,2023-12-31,150
3167806,2023-12-31,0
3167905,2023-12-31,139
3168002,2023-12-31,140
3168051,2023-12-31,5
3168101,2023-12-31,59
3168200,2023-12-31,0
3168309,2023-12-31,92
3168408,2023-12-31,88
3168507,2023-12-31,479
3168606,2023-12-31,4329
3168705,2023-12-31,3354
3168804,2023-12-31,130
3168903,2023-12-31,235
3169000,2023-12-31,297
3169059,2023-12-31,1
3169109,2023-12-31,8
3169208,2023-12-31,305
3169307,2023-12-31,678
3169356,2023-12-31,1681
3169406,2023-12-31,919
3169505,2023-12-31,46
3169604,2023-12-31,146
3169703,2023-12-31,220
3169802,2023-12-31,0
3169901,2023-12-31,1510
3170008,2023-12-31,179
3170057,2023-12-31,174
3170107,2023-12-31,29966
3170206,2023-12-31,36347
3170305,2023-12-31,13
3170404,2023-12-31,8230
3170438,2023-12-31,232
3170479,2023-12-31,101
3170503,2023-12-31,210
3170529,2023-12-31,111
3170578,2023-12-31,383
3170602,2023-12-31,20
3170651,2023-12-31,13
3170701,2023-12-31,7919
3170750,2023-12-31,111
3170800,2023-12-31,1661
3170909,2023-12-31,271
3171006,2023-12-31,1281
3171030,2023-12-31,38
3171071,2023-12-31,14
3171105,2023-12-31,64
3171154,2023-12-31,148
3171204,2023-12-31,2669
3171303,2023-12-31,808
3171402,2023-12-31,79
3171501,2023-12-31,0
3171600,2023-12-31,318
3171709,2023-12-31,9
3171808,2023-12-31,21
3171907,2023-12-31,84
3172004,2023-12-31,1455
3172103,2023-12-31,23
3172202,2023-12-31,0
